Category,Count,TP,FP,TN,FN,Precision,Recall,F1-Score,Accuracy,TPR,FPR
Jailbreak,4,3,0,0,1,1.0000,0.7500,0.8571,0.7500,0.7500,0.0000
Obfuscation,1,0,0,0,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PII Leakage,3,3,0,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
Prompt Injection,3,1,0,0,2,1.0000,0.3333,0.5000,0.3333,0.3333,0.0000
Safe,5,0,0,5,0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Secret Exposure,2,0,0,0,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
System Prompt Extraction,3,0,0,0,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
OVERALL,21,7,0,5,9,1.0000,0.4375,0.6087,0.5714,0.4375,0.0000
